"sample"	"cluster"	"x"	"y"
"1"	1	1	0.55720217437959	0.0487547646947184
"2"	2	1	0.497707139757776	0.00222408960235114
"3"	3	1	0.57462027229035	0.117474516906837
"4"	4	1	0.555032103549221	0.0224672432247005
"5"	5	1	0.56223913707033	0.0153772852254977
"6"	6	1	0.535470606450014	0.0695228409009544
"7"	7	1	0.592783357637234	0.0869805943155418
"8"	8	1	0.504702642849077	0.0501072007166102
"9"	9	1	0.504036620830027	0.0628030831734492
"10"	10	1	0.510918089064735	0.0229177790704022
"11"	11	1	0.542707321181946	0.0846420926262674
"12"	12	1	0.505559666182713	0.0653686849474022
"13"	13	1	0.525643678758075	0.0590139429660008
"14"	14	1	0.511482108976798	0.078427233998734
"15"	15	1	0.534913797724987	0.0859525984138352
"16"	16	1	0.531480042429628	0.0340083122996321
"17"	17	1	0.603647789400251	0.0704106287733505
"18"	18	1	0.556389006185283	0.0263002623223062
"19"	19	1	0.509826801318055	0.122870543020399
"20"	20	1	0.537209479616435	0.069685869557693
"21"	21	1	0.576808790007093	0.0549093082624872
"22"	22	1	0.568998872644385	0.0412704903774341
"23"	23	1	0.55692149339883	0.0493667732346024
"24"	24	1	0.476591291511351	0.0229474907464772
"25"	25	1	0.545635268487479	0.0578878857107384
"26"	26	1	0.559589631107932	0.073489549562641
"27"	27	1	0.603025082013346	0.0405830061841841
"28"	28	1	0.597303693991616	0.0316072079121993
"29"	29	1	0.503580060571002	0.00710417440458997
"30"	30	1	0.565784182102055	0.0730509427653801
"31"	31	1	0.491611482371923	0.0659972707711755
"32"	32	1	0.550120652919586	0.0496440947889585
"33"	33	1	0.610039854683853	0.0394508336580497
"34"	34	1	0.474457628874555	0.0637346054382609
"35"	35	1	0.572721968152558	0.014727458177697
"36"	36	1	0.555438397881452	0.0118011470969459
"37"	37	1	0.537370000155659	0.0126274813846509
"38"	38	1	0.543852526598897	0.0451451188313918
"39"	39	1	0.585807597750887	0.0797050705119458
"40"	40	1	0.585565120745938	0.0774235069597465
